专业名称,课程号
宇航与机电类,100020010
宇航与机电类,100020010
宇航与机电类,100020010
宇航与机电类,100020010
弹药工程与爆炸技术,100021121
弹药工程与爆炸技术,100021121
弹药工程与爆炸技术,100021122
工程力学,100021122
弹药工程与爆炸技术,100021122
特种能源技术与工程,100021122
弹药工程与爆炸技术,100021122
安全工程,100021122
弹药工程与爆炸技术,100021123
工程力学,100021123
弹药工程与爆炸技术,100021123
特种能源技术与工程,100021123
弹药工程与爆炸技术,100021123
安全工程,100021123
弹药工程与爆炸技术,100021128
弹药工程与爆炸技术,100021128
工程力学,100021132
弹药工程与爆炸技术,100021132
特种能源技术与工程,100021132
安全工程,100021132
协和医班,100021207
徐特立英才班,100021207
智能装备技术特色班,100021207
武器系统与工程,100022103
智能无人系统技术,100022103
智能无人系统技术,100022103
武器系统与工程,100022103
机械电子工程,100022107
机械电子工程,100022107
武器系统与工程,100022128
武器系统与工程,100022128
武器系统与工程,100022132
武器系统与工程,100022132
武器系统与工程,100022133
武器系统与工程,100022133
工程力学,100022149
弹药工程与爆炸技术,100022149
特种能源技术与工程,100022149
智能无人系统技术,100022149
智能无人系统技术,100022149
未来精工技术,100022149
安全工程,100022149
弹药工程与爆炸技术,100022215
武器系统与工程,100022215
特种能源技术与工程,100022215
安全工程,100022215
弹药工程与爆炸技术,100022215
安全工程,100022215
武器系统与工程,100022215
特种能源技术与工程,100022215
机械电子工程,100022215
探测制导与控制技术,100022215
工程力学,100022215
工程力学,100022215
探测制导与控制技术,100022215
机械电子工程,100022215
武器系统与工程,100022216
武器系统与工程,100022216
智能无人系统技术,100023100
机电类,100023100
机械电子工程,100023100
智能装备技术特色班,100023100
智能装备技术,100023100
智能机电系统,100023100
机电类,100023100
工程力学,100023106
工程力学,100023106
工程力学,100023108
工程力学,100023108
弹药工程与爆炸技术,100023108
特种能源技术与工程,100023108
工程力学,100023108
安全工程,100023108
特种能源技术与工程,100023109
工程力学,100023109
工程力学,100023109
特种能源技术与工程,100023109
工程力学,100023112
弹药工程与爆炸技术,100023112
特种能源技术与工程,100023112
安全工程,100023112
特种能源技术与工程,100023112
安全工程,100023112
工程力学,100023112
工程力学,100023112
安全工程,100023112
特种能源技术与工程,100023112
工程力学,100023125
工程力学,100023125
弹药工程与爆炸技术,100023125
特种能源技术与工程,100023125
工程力学,100023125
安全工程,100023125
工程力学,100023204
工程力学,100023204
弹药工程与爆炸技术,100023204
特种能源技术与工程,100023204
工程力学,100023204
安全工程,100023204
机电类,100023215
智能装备技术特色班,100023215
智能装备技术,100023215
智能无人系统技术,100023215
机电类,100023215
智能机电系统,100023215
机电类,100023215
特种能源技术与工程,100024104
安全工程,100024104
工程力学,100024104
弹药工程与爆炸技术,100024104
特种能源技术与工程,100024104
安全工程,100024104
安全工程,100024104
特种能源技术与工程,100024104
机电类,100024128
机电类,100024128
机电类,100024128
机电类,100024128
智能机电系统,100024128
智能装备技术特色班,100024128
智能无人系统技术,100024128
智能装备技术,100024128
武器系统与工程,100024132
武器系统与工程,100024132
探测制导与控制技术,100025103
探测制导与控制技术,100025103
探测制导与控制技术,100025104
探测制导与控制技术,100025104
机电类,100025130
机电类,100025130
智能装备技术特色班,100025130
智能装备技术,100025130
智能无人系统技术,100025132
智能机电系统,100025132
机械电子工程,100025133
机械电子工程,100025133
安全工程,100026102
安全工程,100026102
安全工程,100026102
安全工程,100026103
机械电子工程,100026103
安全工程,100026103
机械电子工程,100026103
安全工程,100026118
安全工程,100026118
探测制导与控制技术,100026131
探测制导与控制技术,100026131
探测制导与控制技术,100026135
探测制导与控制技术,100026135
探测制导与控制技术,100026136
探测制导与控制技术,100026136
探测制导与控制技术,100026137
探测制导与控制技术,100026137
安全工程,100026146
安全工程,100026146
弹药工程与爆炸技术,100026148
武器系统与工程,100026148
特种能源技术与工程,100026148
安全工程,100026148
机械电子工程,100026148
弹药工程与爆炸技术,100026148
安全工程,100026148
机械电子工程,100026148
武器系统与工程,100026148
特种能源技术与工程,100026148
机械电子工程,100027124
机械电子工程,100027124
机械电子工程,100027135
机械电子工程,100027135
智能无人系统技术,100028003
智能无人系统技术,100028003
未来精工技术,100028003
智能无人系统技术,100028004
智能无人系统技术,100028004
未来精工技术,100028004
智能无人系统技术,100028005
智能无人系统技术,100028005
智能无人系统技术,100028009
智能无人系统技术,100028009
未来精工技术,100028009
协和医班,100028016
智能无人系统技术,100028016
徐特立英才班,100028016
徐特立英才班,100740001
协和医班,100740001
徐特立英才班,100740001
未来精工技术,100740001
李泽湘双创特色班,100740001
徐特立英才班,100740001
数学与应用数学,100740001
未来精工技术,100740001
徐特立英才班,100740001
电子科学与技术,100740001
徐特立英才班,100740001
未来精工技术,100740001
信息科学技术,100740001
电子信息实验班,100740001
信息科学技术,100740001
电子信息实验班,100740001
信息科学技术,100740001
电子信息实验班,100740001
信息科学技术,100740001
电子信息实验班,100740001
生物医学工程,100740001
信息科学技术,100740001
电子信息实验班,100740001
应用物理学,100740001
信息科学技术,100740001
电子信息实验班,100740001
信息科学技术,100740001
电子信息实验班,100740001
信息科学技术,100740001
电子信息实验班,100740001
信息科学技术,100740001
电子信息实验班,100740001
信息科学技术,100740001
电子信息实验班,100740001
数学与应用数学,100740001
应用物理学,100740001
工程力学,100740001
数据科学与大数据技术,100740001
机械电子工程,101027125
机械电子工程,101027125
经济管理试验班,101027130
信息管理与信息系统,101027130
自动化,101027130
机械电子工程,101027131
工程力学,101027131
弹药工程与爆炸技术,101027131
特种能源技术与工程,101027131
智能无人系统技术,101027131
安全工程,101027131
机械电子工程,101027132
机械电子工程,101027132
工程力学,102023108
工程力学,102023108
工程力学,102023108
弹药工程与爆炸技术,102023215
武器系统与工程,102023215
特种能源技术与工程,102023215
安全工程,102023215
探测制导与控制技术,102023215
工程力学,102023215
工程力学,102023215
弹药工程与爆炸技术,102023215
特种能源技术与工程,102023215
弹药工程与爆炸技术,102023215
工程力学,102023215
安全工程,102023215
探测制导与控制技术,102023215
安全工程,102023215
武器系统与工程,102023215
特种能源技术与工程,102023215
特种能源技术与工程,102024106
特种能源技术与工程,102024106
特种能源技术与工程,102024106
全球治理班,99911056
智能装备技术特色班,99911056
物质科学与新材料班,99911056
智能动力与新能源班,99911056
工业工程,100031109
工业工程,100031109
机械工程,100031109
机械工程,100031109
应用化学-机械工程,100031109
能源与动力工程-工商管理,100031109
车辆工程,100031111
装甲车辆工程,100031111
能源与动力工程,100031111
机械工程,100031111
工业工程,100031111
能源与动力工程,100031111
智能动力与新能源班,100031111
机械工程,100031111
智能制造与智能车辆,100031111
智能制造工程,100031111
能源与动力工程-工商管理,100031111
工业工程,100031111
车辆工程,100031111
智能制造与智能车辆,100031112
未来精工技术,100031112
智能制造工程,100031112
智能制造与智能车辆,100031113
生物医学工程,100031150
信息科学技术,100031150
信息科学技术,100031150
信息科学技术,100031150
信息科学技术,100031150
信息科学技术,100031150
信息科学技术,100031150
信息科学技术,100031150
信息科学技术,100031150
信息科学技术,100031150
信息科学技术,100031150
电子信息实验班,100031150
信息科学技术,100031150
电子信息实验班,100031150
电子信息实验班,100031150
电子信息实验班,100031150
电子信息实验班,100031150
电子信息实验班,100031150
电子信息实验班,100031150
电子信息实验班,100031150
电子信息实验班,100031150
电子信息实验班,100031150
电子信息实验班,100031150
材料类,100031150
材料类,100031150
材料类,100031150
机器人工程,100031163
能源与动力工程,100031208
能源与动力工程,100031208
装甲车辆工程,100031209
智能制造工程,100031209
车辆工程,100031210
装甲车辆工程,100031210
机械工程,100031210
智能制造与智能车辆,100031210
车辆工程,100031210
能源与动力工程,100031210
机械工程,100031210
能源与动力工程,100031210
机械工程,100031210
未来精工技术,100031211
未来精工技术,100031251
机械工程,100031303
机械工程,100031303
应用化学-机械工程,100031303
机械工程,100031303
能源与动力工程,100031303
智能动力与新能源班,100031303
能源与动力工程,100031303
能源与动力工程,100031303
能源与动力工程,100031303
机械工程,100031304
机械工程,100031304
机械工程,100031304
车辆工程,100031304
车辆工程,100031304
车辆工程,100031304
车辆工程,100031304
能源与动力工程,100031304
能源与动力工程,100031304
智能动力与新能源班,100031304
装甲车辆工程,100031305
装甲车辆工程,100031305
车辆工程,100031305
车辆工程,100031305
车辆工程,100031305
车辆工程,100031305
智能动力与新能源班,100031305
能源与动力工程,100031305
智能制造与智能车辆,100031305
智能制造工程,100031305
机械工程,100031305
机械工程,100031305
车辆工程,100031305
机械工程,100031308
机械工程,100031308
机械工程,100031308
车辆工程,100031312
工业工程,100031312
能源与动力工程,100031312
智能动力与新能源班,100031312
工业工程,100031312
装甲车辆工程,100031312
能源与动力工程,100031312
机械工程,100031312
机械工程,100031312
能源与动力工程-工商管理,100031312
材料成型及控制工程,100031313
电子封装技术,100031313
材料科学与工程,100031313
材料科学与工程,100031313
物质科学与新材料班,100031313
材料成型及控制工程,100031313
弹药工程与爆炸技术,100031314
安全工程,100031314
工程力学,100031314
工程力学,100031314
弹药工程与爆炸技术,100031314
弹药工程与爆炸技术,100031314
工程力学,100031314
安全工程,100031314
安全工程,100031314
武器系统与工程,100031314
特种能源技术与工程,100031314
机械电子工程,100031314
特种能源技术与工程,100031314
智能无人系统技术,100031314
国际经济与贸易,100031314
机械电子工程,100031314
武器系统与工程,100031314
特种能源技术与工程,100031314
国际经济与贸易,100031314
飞行器设计与工程,100031314
航空航天工程,100031314
飞行器动力工程,100031314
武器发射工程,100031314
工程力学,100031314
探测制导与控制技术,100031314
国际经济与贸易,100031314
信息管理与信息系统-英语,100031314
经济管理试验班,100031314
智能无人系统技术,100031314
应用化学-机械工程,100031314
航空航天工程,100031314
信息管理与信息系统,100031314
经济管理实验班,100031314
自动化,100031315
自动化,100031315
制药工程,100031315
化学工程与工艺,100031315
能源化学工程,100031315
光电信息科学与工程,100031315
自动化,100031315
化学工程与工艺-工商管理,100031315
光电信息科学与工程,100031315
自动化,100031315
电气工程及其自动化,100031315
自动化,100031315
机器人工程,100031315
高分子材料与工程,100031315
新能源材料与器件,100031315
新能源材料与器件,100031315
电子信息工程,100031315
飞行器设计与工程,100031350
航空航天工程,100031350
飞行器动力工程,100031350
武器发射工程,100031350
航空航天工程,100031350
未来精工技术,100031350
车辆工程,100032442
车辆工程,100032442
未来精工技术,100032446
未来精工技术,100032447
未来精工技术,100032448
装甲车辆工程,100033201
装甲车辆工程,100033202
装甲车辆工程,100033202
装甲车辆工程,100033419
装甲车辆工程,100033419
装甲车辆工程,100033420
装甲车辆工程,100033420
装甲车辆工程,100033421
装甲车辆工程,100033422
未来精工技术,100033424
装甲车辆工程,100033437
能源与动力工程,100034201
能源与动力工程,100034201
能源与动力工程,100034301
能源与动力工程,100034301
能源与动力工程,100034307
智能动力与新能源班,100034415
能源与动力工程,100034415
能源与动力工程,100034415
能源与动力工程-工商管理,100034452
能源与动力工程-工商管理,100034453
能源与动力工程-工商管理,100034455
徐特立英才班,100034456
智能动力与新能源班,100034456
工业工程,100036302
智能制造工程,100036302
工业工程,100036302
工业工程,100036304
智能制造工程,100036304
工业工程,100036304
工业工程,100036305
工业工程,100036305
智能制造工程,100036325
智能制造与智能车辆,100036328
未来精工技术,100036328
智能制造与智能车辆,100036329
智能制造工程,100036329
智能制造与智能车辆,100036330
机械工程,100036330
应用化学-机械工程,100036330
机械工程,100036330
智能制造与智能车辆,100036332
车辆工程,100036337
车辆工程,100036337
车辆工程,100036337
车辆工程,100036337
车辆工程,100036338
车辆工程,100036339
机械工程,100036340
机械工程,100036340
工业工程,100036341
工业工程,100036341
工业工程,100036345
工业工程,100036345
工业工程,100036346
工业工程,100036346
工业工程,100036347
智能制造工程,100036347
工业工程,100036347
工业工程,100036348
智能制造工程,100036348
工业工程,100036348
智能制造与智能车辆,100036349
智能制造工程,100036349
车辆工程,100036350
智能动力与新能源班,100036351
能源与动力工程,100036351
机械工程,101030110
机械工程,101030110
机械电子工程,101037303
自动化,101037303
航空航天工程,101037303
机械电子工程,101037303
机械工程,101037303
机械工程,101037303
机械电子工程,101037307
机械电子工程,101037307
机械工程,101037307
机械工程,101037307
机械电子工程,101037308
机械电子工程,101037308
机械工程,101037309
机械工程,101037309
机械工程,101037310
机械工程,101037310
机械工程,101037311
机械工程,101037311
机械工程,101037313
机械工程,101037313
航空航天工程,101037313
机械工程,101037324
机械工程,101037324
航空航天工程,101037324
机械工程,101037325
机械工程,101037325
机械工程,101037327
机械工程,101037327
航空航天工程,101037327
机械电子工程,101037327
机械工程,101037334
机械工程,101037334
机械工程,101037341
机械工程,101037341
机械工程,101037343
机械工程,101037343
机械工程,101037344
机械工程,101037344
航空航天工程,101037344
机械工程,101037345
机械工程,101037345
光电信息与智能感测,100040005
光电信息与智能感测,100040005
生物医学工程,100040005
生物医学工程,100040005
生物医学工程,100040005
光电信息科学与工程,100040005
材料成型及控制工程,100040005
电子封装技术,100040005
材料科学与工程,100040005
材料科学与工程,100040005
物质科学与新材料班,100040005
材料成型及控制工程,100040005
光电信息与智能感测,100040005
测控技术与仪器,100040008
光电信息科学与工程,100040008
光电信息科学与工程,100040008
光电信息科学与工程,100040008
测控技术与仪器,100040008
光电信息科学与工程,100040008
光电信息科学与工程,100040008
光电信息科学与工程,100040008
光电信息科学与工程,100040008
测控技术与仪器,100040012
光电信息科学与工程,100040012
光电信息科学与工程,100040012
光电信息科学与工程,100040012
光电信息科学与工程,100040012
光电信息科学与工程,100040012
测控技术与仪器,100040012
测控技术与仪器,100040016
测控技术与仪器,100040016
测控技术与仪器,100040016
测控技术与仪器,100040017
光电信息科学与工程,100040017
光电信息科学与工程,100040017
光电信息科学与工程,100040017
光电信息科学与工程,100040017
光电信息科学与工程,100040017
测控技术与仪器,100040017
测控技术与仪器,100041004
光电信息科学与工程,100041004
光电信息科学与工程,100041004
光电信息科学与工程,100041004
光电信息科学与工程,100041004
光电信息科学与工程,100041004
测控技术与仪器,100041004
测控技术与仪器,100041005
光电信息科学与工程,100041005
光电信息科学与工程,100041005
光电信息科学与工程,100041005
光电信息科学与工程,100041005
光电信息科学与工程,100041005
测控技术与仪器,100041005
光电信息科学与工程,100041006
光电信息科学与工程,100041006
光电信息科学与工程,100041006
光电信息科学与工程,100041006
光电信息科学与工程,100041006
光电信息科学与工程,100041006
光电信息科学与工程,100041006
光电信息科学与工程,100041009
光电信息科学与工程,100041009
光电信息科学与工程,100041009
光电信息科学与工程,100041009
光电信息科学与工程,100041009
光电信息科学与工程,100041009
光电信息科学与工程,100041009
光电信息科学与工程,100041009
测控技术与仪器,100041032
光电信息科学与工程,100041032
光电信息科学与工程,100041032
光电信息科学与工程,100041032
光电信息科学与工程,100041032
光电信息科学与工程,100041032
测控技术与仪器,100041032
测控技术与仪器,100041033
光电信息科学与工程,100041033
光电信息科学与工程,100041033
光电信息科学与工程,100041033
光电信息科学与工程,100041033
光电信息科学与工程,100041033
光电信息科学与工程,100041033
测控技术与仪器,100041033
测控技术与仪器,100041037
光电信息科学与工程,100041037
光电信息科学与工程,100041037
光电信息科学与工程,100041037
光电信息科学与工程,100041037
光电信息科学与工程,100041037
测控技术与仪器,100041037
测控技术与仪器,100041038
光电信息科学与工程,100041038
光电信息科学与工程,100041038
光电信息科学与工程,100041038
智能感知工程,100041038
光电信息科学与工程,100041038
光电信息科学与工程,100041038
测控技术与仪器,100041038
测控技术与仪器,100041040
测控技术与仪器,100041040
光电信息科学与工程,100041040
光电信息科学与工程,100041040
光电信息科学与工程,100041040
光电信息科学与工程,100041040
光电信息科学与工程,100041040
测控技术与仪器,100041046
光电信息科学与工程,100041046
光电信息科学与工程,100041046
光电信息科学与工程,100041046
智能感知工程,100041046
光电信息科学与工程,100041046
光电信息科学与工程,100041046
测控技术与仪器,100041046
测控技术与仪器,100041047
光电信息科学与工程,100041047
智能感知工程,100041047
光电信息科学与工程,100041047
光电信息科学与工程,100041047
光电信息科学与工程,100041047
测控技术与仪器,100041047
测控技术与仪器,100041047
光电信息科学与工程,100041047
光电信息科学与工程,100041047
光电信息科学与工程,100041047
光电信息科学与工程,100041052
光电信息科学与工程,100041052
光电信息科学与工程,100041052
光电信息科学与工程,100041052
光电信息科学与工程,100041052
测控技术与仪器,100041052
测控技术与仪器,100041052
测控技术与仪器,100041053
测控技术与仪器,100041053
测控技术与仪器,100041055
光电信息科学与工程,100041055
光电信息科学与工程,100041055
光电信息科学与工程,100041055
光电信息科学与工程,100041055
光电信息科学与工程,100041055
测控技术与仪器,100041055
测控技术与仪器,100041056
测控技术与仪器,100041056
测控技术与仪器,100041056
光电信息科学与工程,100041056
光电信息科学与工程,100041056
光电信息科学与工程,100041056
光电信息科学与工程,100041056
光电信息科学与工程,100041056
测控技术与仪器,100041064
光电信息科学与工程,100041064
光电信息科学与工程,100041064
光电信息科学与工程,100041064
光电信息科学与工程,100041064
光电信息科学与工程,100041064
测控技术与仪器,100041064
光电信息与智能感测,100041068
光电信息科学与工程,100041068
光电信息与智能感测,100041068
光电信息科学与工程,100041073
光电信息科学与工程,100041073
光电信息科学与工程,100041073
光电信息科学与工程,100041073
光电信息科学与工程,100041073
测控技术与仪器,100041073
测控技术与仪器,100041073
光电信息科学与工程,100041073
光电信息科学与工程,100041073
光电信息科学与工程,100041075
光电信息科学与工程,100041075
光电信息科学与工程,100041075
光电信息科学与工程,100041075
光电信息科学与工程,100041075
光电信息科学与工程,100041075
光电信息科学与工程,100041075
光电信息科学与工程,100041075
测控技术与仪器,100041075
测控技术与仪器,100041075
光电信息科学与工程,100041076
光电信息科学与工程,100041076
光电信息科学与工程,100041076
光电信息科学与工程,100041076
测控技术与仪器,100041076
光电信息科学与工程,100041076
光电信息科学与工程,100041076
光电信息科学与工程,100041076
测控技术与仪器,100041076
测控技术与仪器,100041077
光电信息科学与工程,100041077
光电信息科学与工程,100041077
光电信息科学与工程,100041077
光电信息科学与工程,100041077
光电信息科学与工程,100041077
光电信息科学与工程,100041077
测控技术与仪器,100041077
光电信息科学与工程,100041078
光电信息科学与工程,100041078
光电信息科学与工程,100041078
光电信息科学与工程,100041078
光电信息科学与工程,100041078
智能感知工程,100041102
航空宇航与智能飞行器技术,100041102
智能感知工程,100041103
智能感知工程,100041104
智能感知工程,100041105
航空宇航与智能飞行器技术,100041105
智能感知工程,100041106
智能感知工程,100041107
智能感知工程,100041112
智能感知工程,100041114
智能感知工程,100041119
智能感知工程,100041121
航空宇航与智能飞行器技术,100041121
智能感知工程,100041133
智能感知工程,100041134
光电信息与智能感测,102040004
光电信息科学与工程,102040004
光电信息与智能感测,102040004
光电信息与智能感测,102040004
智能感知工程,102040004
光电信息科学与工程,106041054
光电信息科学与工程,106041054
光电信息科学与工程,106041054
光电信息科学与工程,106041054
电子信息实验班,100050217
电子信息实验班,100050217
电子信息工程,100050217
电子信息工程,100050217
电子信息工程,100050223
电子信息工程,100050223
机械电子工程,100051293
探测制导与控制技术,100051293
机械电子工程,100051293
探测制导与控制技术,100051293
机械电子工程,100051293
机械电子工程,100051293
机械电子工程,100051293
探测制导与控制技术,100051293
机械电子工程,100051293
探测制导与控制技术,100051293
机械电子工程,100051293
机械电子工程,100051293
未来精工技术,100053377
电子信息工程,100053377
电子信息实验班,100053377
未来精工技术,100057404
电子信息实验班,100057404
电子信息实验班,100057404
电子信息实验班,100057404
电子信息实验班,100057404
电子信息实验班,100057404
电子信息实验班,100057404
网络空间安全类,100058410
网络空间安全类,100058410
未来精工技术,100058410
电子信息工程,100058410
电子信息实验班,100058410
电子科学与技术,101053202
电子科学与技术,101053202
电子信息实验班,103052316
电子信息实验班,103052316
电子信息实验班,103052316
电子信息实验班,103052316
电子信息实验班,103052316
电子信息实验班,103052316
电子信息实验班,103052316
电子信息实验班,103052316
电子信息实验班,103052316
电子信息实验班,103052317
电子信息实验班,103052317
电子信息实验班,103052317
电子信息实验班,103052317
电子信息实验班,103052317
电子信息实验班,103052317
电子信息实验班,103052317
电子信息实验班,103052317
电子信息实验班,103053209
电子信息实验班,103053209
电子信息实验班,103053209
电子信息实验班,103053209
电子信息实验班,103053209
电子信息实验班,103053209
电子信息实验班,103053209
电子信息实验班,103053209
电子信息实验班,103053209
电子信息实验班,103053209
网络空间安全类,103053213
网络空间安全类,103053213
网络空间安全类,103053213
电子信息工程,103053314
电子信息工程,103053314
电子信息工程,103053314
电子信息工程,103053314
电子信息实验班,103057312
电子信息实验班,103057312
电子信息实验班,103057312
电子信息实验班,103057312
电子信息实验班,103057312
电子信息实验班,103057312
电子信息实验班,103057312
电子信息实验班,103057312
电子信息实验班,103057312
电子信息实验班,103057312
电子信息实验班,103057312
电子信息实验班,103057312
电子信息实验班,103057312
电子信息实验班,103057312
电子信息实验班,103057312
电子信息实验班,103057312
电子信息工程,105052002
电子信息工程,105052002
未来精工技术,105052002
电子信息工程,105052002
未来精工技术,105052002
电子信息工程,105052002
电子信息工程,105052002
电子信息工程,105052002
未来精工技术,105057001
未来精工技术,105057001
电子信息工程,105057002
电子信息工程,105057002
电子信息工程,105057002
电子信息工程,105057002
自动化,100061101
自动化,100061101
李泽湘双创特色班,100061104
李泽湘双创特色班,100061105
自动化,100062106
自动化,100062106
生物医学工程,100062106
机器人工程,100062106
航空宇航与智能飞行器技术,100062106
自动化,100062106
电气工程及其自动化,100062106
自动化,100062106
自动化,100062107
自动化,100062107
自动化,100062107
机器人工程,100062107
智能无人系统技术,100062108
智能机电系统,100062108
智能装备技术,100062108
机电类,100062108
智能装备技术特色班,100062108
机电类,100062108
材料成型及控制工程,100062108
电子封装技术,100062108
材料科学与工程,100062108
材料科学与工程,100062108
材料成型及控制工程,100062108
自动化,100062111
自动化,100062111
未来精工技术,100062111
机器人工程,100062112
光电信息与智能感测,100062113
光电信息与智能感测,100062113
光电信息科学与工程,100062113
光电信息与智能感测,100062113
自动化,100062168
电气工程及其自动化,100062168
自动化,100062168
自动化,100062168
电气工程及其自动化,100062168
自动化,100062168
自动化,100062168
机器人工程,100062168
自动化,100062202
电气工程及其自动化,100062204
自动化,100062204
生物医学工程,100062204
航空宇航与智能飞行器技术,100062204
自动化,100062204
自动化,100062204
自动化,100062204
机器人工程,100062204
自动化,100062204
自动化,100062204
自动化,100062204
未来精工技术,100062204
机电类,100062205
电子封装技术,100062205
材料成型及控制工程,100062205
材料科学与工程,100062205
材料科学与工程,100062205
材料成型及控制工程,100062205
智能无人系统技术,100062205
智能机电系统,100062205
智能装备技术,100062205
机电类,100062205
智能装备技术特色班,100062205
自动化,100062206
电气工程及其自动化,100062206
自动化,100062206
自动化,100062206
机器人工程,100062206
机器人工程,100062207
光电信息与智能感测,100062208
光电信息与智能感测,100062208
光电信息与智能感测,100062208
光电信息科学与工程,100062208
光电信息与智能感测,100062208
电气工程及其自动化,100062232
电气工程及其自动化,100063110
自动化,100063133
未来精工技术,100063133
电气工程及其自动化,100063141
自动化,100063142
自动化,100063142
自动化,100063142
机器人工程,100063142
自动化,100063142
自动化,100063143
自动化,100063143
机器人工程,100063143
自动化,100063143
自动化,100063143
自动化,100063145
自动化,100063145
自动化,100063145
自动化,100063145
电气工程及其自动化,100063165
自动化,100063173
未来精工技术,100063173
自动化,100063175
未来精工技术,100063175
自动化,100063176
未来精工技术,100063176
机器人工程,100063177
电气工程及其自动化,100063206
电气工程及其自动化,100063206
自动化,100063207
未来精工技术,100063207
自动化,100063207
机器人工程,100063207
自动化,100063207
自动化,100063207
自动化,100063208
电气工程及其自动化,100063208
自动化,100063208
自动化,100063209
自动化,100063209
自动化,100063209
自动化,100063209
自动化,100063209
机器人工程,100063209
自动化,100063209
自动化,100063209
自动化,100063209
未来精工技术,100063209
自动化,100063209
电气工程及其自动化,100063212
电气工程及其自动化,100063212
自动化,100063237
机器人工程,100063237
自动化,100063237
自动化,100063237
机器人工程,100063238
自动化,100063238
自动化,100063238
自动化,100063238
电气工程及其自动化,100063242
自动化,100063245
电气工程及其自动化,100063245
自动化,100063245
自动化,100063245
机器人工程,100063245
自动化,100063251
自动化,100063251
